obs usure temp miles
1 2.25847 53.2 388 
2 2.19915 53.2 388 
3 2.19068 53.2 388 
4 1.99153 53.2 388 
5 2.27837 53.3 438
6 2.22698 53.3 438 
7 2.03854 53.3 438 
8 2.05139 53.3 438 
9 2.68891 66.0 58 
10 2.63003 66.0 58 
11 2.59078 66.0 58 
12 2.58587 66.0 58 
13 2.35556 70.3 7 
14 2.41333 70.3 7 
15 2.34222 70.3 7 
16 2.42667 70.3 7 
17 2.15361 76.9 28 
18 2.20181 76.9 28 
19 2.22892 76.9 28 
20 2.16867 76.9 28 
21 2.09884 78.4 25 
22 2.25000 78.4 25 
23 2.04360 78.4 25 
24 2.08721 78.4 25
25 2.07979 88.1 275
26 2.23404 88.1 275 
27 2.07713 88.1 275 
28 2.21011 88.1 275 
29 2.01934 89.6 324
30 2.26796 89.6 324 
31 2.10221 89.6 324 
32 2.01105 89.6 324 
